Images,Title,Description,Brand,Condition,Primary Color,Secondary Color,Tags,Sku,Category,Price,Status,Listed Date,Sold Date,Shipped Date,Listing Platforms,Sold Platform,Internal Notes,Price Sold,Cost of Goods,Marketplace Fees,Shipping Expenses,Labels,Quantity Left,Quantity Sold
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/79cbf5e9-d6c3-46db-b5eb-95fcd4d729c2.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Hurley “Another Day in Paradise” Sun Graphic Cropped T-Shirt Black XL,"Laid-back streetwear graphic tee in black with a cropped, boxy fit. Soft 100%-cotton jersey. Gradient sun “Another Day in Paradise” front print (surf/skate vibe). Condition: Good",Hurley,Pre-Owned - Good,Black,,,,Tops,14,Sold,2025-09-26,2026-03-11,,Poshmark,Poshmark,og tp 4,6,1.24,2.95,0,"A8, clothing, raghouse, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/40adea13-af6a-401a-8c4a-53dc9d6f4000.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Video Games Destroyed My Life T-Shirt 3XL White Gamer Humor Alstyle,"Alstyle Apparel & Activewear graphic t-shirt featuring a classic gamer humor slogan: ""Video Games Destroyed My Life: Good Thing I Have 2 Extra Lives."" Large black text with skull graphics on a white tee.

Size: 3XL (3XL/3TG/3EG)

Condition: Pre-Owned - Fair/Good. Shows some wear. There is a small light spot/stain near the front neckline. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Alstyle,Pre-Owned - Fair,White,Black,"Gamer, Video Games, Funny, Humor, Alstyle, 3XL, Graphic Tee",,T-Shirts,15,Sold,2026-02-09,2026-03-10,,Depop,Depop,,10.5,2.93,1.88,0,"A10, cog:2.93, dirtywhitesportstees, raghouse",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/dc51f298-d2e1-4031-946f-47033f8847a1.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",ZARA XS Edgy Crocodile Embossed Faux Leather Cropped Trucker Jacket Black NWT,"Contemporary ZARA cropped trucker jacket with statement crocodile embossed faux leather in sleek black.

Regular fit with adjustable button cuffs and chest pockets, styled for edgy casual wear year-round.

Size: XS

Condition: New with tags, See photos for details.

Measurements: See photos for full measurements

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Zara,New With Tags/Box,Black,,,,"Coats, Jackets & Vests",45,Sold,2025-12-15,2026-03-08,,Poshmark,Poshmark,,30,0,6,0,"raghouse, clothing, A15",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/acdbb936-e276-4211-b8b3-cce7f484a1a8.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",SO S Short Y2K Wide Leg Jeans Blue Pull-On,"Y2K SO wide leg jeans with pull-on elastic waist in medium blue denim wash.

Wide leg in 100% cotton, styled for year-round wear.

Size: S Short

Condition: Good pre-owned; Flaws: no major flaws visible. See photos for details.

Measurements: 

outer seam 33in
inseam 23in
leg opening 11in
rise 10in
waist 28in

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",SO,Pre-Owned - Good,Blue,,"Y2K, Wide Leg, Pull On, SO, Kohls, Casual, Denim, Elastic Waist",,Jeans,16,Sold,2026-02-20,2026-03-08,,Depop,Depop,,10.08,2.43,1.04,0,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/e5cdce80-ae2e-4f77-ad74-03265570f6ce.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",SO Goods for Life XS Sleeveless Button Front Striped Shirt Blue Cotton Modal,"Lightweight sleeveless button-front shirt in soft blue-and-white stripes with a relaxed, boxy drape and curved hem. Collared neckline, single chest pocket, airy cotton-modal that feels broken-in and breathable. Modern mall-brand basic with a coastal-preppy vibe and lived-in texture.",SO,Pre-Owned - Good,Blue,White,,,Tops,14,Sold,2025-09-26,2026-03-06,,Poshmark,Poshmark,"sleeve:
length:
p2p:
og tp: 4",6,1.24,2.95,0,"raghouse, clothing, A8, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/219da284-4514-4816-ad78-b6f8a484cc13.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Old Navy Size 2 High Rise OG Straight Denim Shorts Medium Blue Women's,"Classic high-rise denim shorts from Old Navy in a medium blue wash. Features O.G. Straight fit with Secret-Smooth Pockets. Stretch denim in 87% Cotton, 12% Polyester, 1% Spandex.

Size: 2

Condition: Good pre-owned condition with natural distressing on raw hem. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Old Navy,Pre-Owned - Good,Blue,,"oldnavy, denim shorts, high rise, og straight, medium blue, women's shorts, summer, casual, streetwear, raw hem",,Shorts,12.99,Sold,2026-02-14,2026-03-06,,eBay,eBay,,11,2.43,4.78,0,"denimcutoffs, A17, raghouse, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/5dabff49-5734-44de-9108-a0b32c05ee6d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Art Unlimited XXL 90s Nature Elk T-Shirt Off White Gaylord Michigan Deer,"90s Nature Art Unlimited Sportswear T-Shirt with Elk Wrap Around Graphic in Off- White/Green.

Relaxed Fit in 100% Cotton, styled for Outdoor/Casual.

Size: XXL

Condition: Pre-Owned - Fair; Flaws: Small marks/stains near collar/shoulder. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Art Unlimited,Pre-Owned - Fair,White,Green,"Elk, Deer, Nature, AOP, Art Unlimited, Gaylord Michigan, 90s, Single Stitch, Hunting, Gorpcore",undefined,T-Shirts,42,Sold,2026-02-11,2026-03-06,,Poshmark,Poshmark,,20,2.93,4,0,"A10, cog:2.93, dirtywhitesportstees, raghouse",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/678e7497-384e-4aa6-bf75-78485c47f822.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Sportswear L Vintage Bass Fish Tee Blue Yellow,"Vintage 80s/90s Sportswear bass fish graphic tee with bold yellow screen print on faded blue.

Regular fit in 100% cotton, styled for casual wear and outdoor enthusiasts.

Size: Large (42-44)

Condition: Good; Flaws: Graphic shows cracking and distressing consistent with age. See photos for details.

Measurements: See photos for full measurements

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.",Sportswear,Pre-Owned - Good,Blue,Yellow,,,T-Shirts,30,Sold,2025-12-10,2026-03-05,,eBay,eBay,Cost: $3 | Mat: $0.23 | Ship: $0 | Target: $12.5 | Markup: { Etsy: 35% | eBay: 50% | Depop: 85% | Poshmark: 20% | Mercari: 20% },30,3,9.6,0,"clothing, A14, fleamarket",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/29fa8da8-e2ef-4bc3-90ff-e104cba621c4.jpeg?width=1512&height=1512&fit=bounds&bg-color=fff&canvas=1512,1512",Unbranded satin-look spaghetti strap camisole tank top black XL minimalist,"Basic satin-look layering cami with spaghetti straps. 100% polyester, regular fit. Color: black. Condition: Good.",Unbranded,Pre-Owned - Good,Black,,"black camisole, spaghetti strap, satin look, minimalist, layering tank, XL, basic cami, y2k",,Camisoles & Camisole Sets,14,Sold,2025-08-16,2026-03-03,,Depop,Depop,"sleeve:
length:
p2p:
og tp: 4",8.82,1.24,1.69,0,"raghouse, clothing, A5, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/1212c974-fda6-49b5-8e3e-2be8106121b8.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Bamboo Jeans 9 Wide Leg Light Wash Denim,"Wide leg Bamboo Jeans with light wash denim, perfect for Y2K and casual streetwear vibes.

High-rise fit in stretch denim, styled for spring and summer.

Size: 9

Condition: Like new; Flaws: no flaws visible. See photos for details.

Measurements:

outer seam 40in
inseam 29in
leg opening 10in
rise 11.5in
waist 28in

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Bamboo Jeans,Pre-Owned - Excellent,Blue,,"Bamboo Jeans, Wide Leg, Y2K, Light Wash, Denim, Flare",,Jeans,24,Sold,2026-02-22,2026-03-03,,Poshmark,Poshmark,,12,2.43,2.95,0,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/07a0a939-db4a-4e27-a12f-55f9f7aaec10.png?width=1454&height=1454&fit=bounds&bg-color=fff&canvas=1454,1454",Angie Smocked Floral Blouse – Boho Puff Sleeve Peplum S,"Lightweight 100% rayon with stretchy bodice, ruffled peplum hem, and flutter sleeves.
Excellent pre-owned condition. Size S.",Angie,Pre-Owned - Excellent,Blue,Red,"bohostyle, summerblouse, cottagecorevibes, festivalfashion, floralfit",,Tops,14,Sold,2025-06-24,2026-03-03,,Depop,Depop,"og tp: $7
price drop 7/22 -tp 5",8.19,1.24,1.59,0,"raghouse, clothing, A2, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/1d305503-fe99-4b0d-a5c4-091588dc4880.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",ARIZONA JEAN COMPANY 12 Baggy Cargo Jeans Blue Low Rise,"Y2K ARIZONA JEAN COMPANY baggy cargo jeans with utility pockets in light blue wash.

Low rise in cotton/TENCEL blend with multiple zippered cargo pockets.

Size: 12

Condition: Good pre-owned; Flaws: no major flaws visible. See photos for details.

Measurements: 

outer seam 41in
inseam 29 in
leg opening 12in
rise 11in
waist 34in

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Arizona Jean Company,Pre-Owned - Good,Blue,,"Y2K, Cargo Jeans, Baggy, ARIZONA JEAN COMPANY, Utility, Low Rise, Streetwear, TENCEL",,Jeans,20,Sold,2026-02-21,2026-03-02,,Depop,Depop,,12.6,2.43,2.13,0,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/99badbe4-9f52-4135-a8a0-2f1d5571bf47.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",M.H.M. Melissa Harper Leaf-Button Short Sleeve Blouse Plum Drawstring 90s,"Boho-craft button-front blouse in deep plum purple with leaf-shaped buttons, a drawstring hem, and subtle embroidered lattice at the bottom. Relaxed, boxy fit with a soft woven, linen-look (feels like rayon/linen blend) hand. 1990s/early-2000s vintage vibe. Condition: Good.",M.H.M. Melissa Harper,Pre-Owned - Good,Purple,,,,Tops,14,Sold,2025-10-03,2026-03-01,,Poshmark,Poshmark,"sleeve:
length:
p2p:
og tp: 10",18,1.79,3.6,0,"raghouse, clothing, A9, 80s Blouses, cog:1.79, 90days+",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/0e0cd9af-002d-4859-ac75-90ec567b40d1.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Denim & Flower Ricky Singh Striped Linen Blend Button Up Shirt Medium Beige,"Denim & Flower Ricky Singh button-up shirt in a textured beige/cream color with vertical stripes. Camp collar, short sleeves, and a linen/cotton blend for a light, breezy feel. Perfect for vacation or casual wear.

Size: Medium (EUR M / USA M / MEX 40)

Condition: Pre-Owned - Fair/Good. Shows some wear. There are a few small snags/pulls on the back near the sleeve. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Denim & Flower,Pre-Owned - Good,Beige,White,"Denim & Flower, Ricky Singh, Linen, Striped, Vacation, Summer, Camp Collar",undefined,Casual Button-Down Shirts,18,Sold,2026-02-08,2026-03-01,,Depop,Depop,,12,0,1.04,0,"A17, cog:0, mycloset",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/9ffc6f65-5a9f-49ad-b8c2-d66249c8b93b.png?width=1202&height=1202&fit=bounds&bg-color=fff&canvas=1202,1202",Love Streak honeycomb biker shorts scrunch back high-waist mauve Y2K athleisure,"Honeycomb-textured biker shorts with high waist, drawstring front, and ruched scrunch back. Stretchy 95% polyester 5% spandex for a comfy, sculpting fit. Condition: gently used.
Measurements (approx): waist ~12” flat, length ~17”, inseam ~8”.",Love Streak,Pre-Owned - Good,Pink,,"honeycomb, scrunch butt, biker shorts, athleisure, y2k, mauve, ruched, workout",,Shorts,14,Sold,2025-08-15,2026-02-28,,eBay,eBay,"sleeve:
length:
p2p:
og tp: 4",8.19,1.24,3.9,0,"raghouse, clothing, A4, cog:1.24, firstbox, 120days+, 5profit",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/759bba85-d009-4160-86c7-9c51095c3d05.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Los Angeles Apparel Y2K Minimalist Tube Top - Tan Beige Bandeau XS,"Y2K minimalist Los Angeles Apparel tube top with fitted, strapless silhouette in solid tan beige.

Classic cropped bandeau in soft, stretchy cotton jersey—ideal for layering or summer streetwear.

Condition: Excellent; Flaws: None visible, see photos for details.

Measurements: See photos for full measurements.

Next day shipping if ordered by 5pm CT/6pm ET. Offers welcome! 15% off bundles of 2+ items.",Los Angeles Apparel,Pre-Owned - Excellent,Beige,,,,Tops,11,Sold,2025-10-29,2026-02-26,,Poshmark,Poshmark,OG TP 9,5,0,2.95,0,"raghouse, clothing, A10, lucia, 90days+, cog:0",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/6de07eca-478f-4a5d-8fbd-a13a1ab8a8bf.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Alfred Dunner Teal Blouse – Cottagecore Floral XL,"Teal green with delicate purple floral embroidery at the neckline. Flowy short sleeves and a split V-neck for breathable comfort. Size XL.
",Alfred Dunner,Pre-Owned - Good,Green,Purple,"cottagecore blouse, vintage floral top, Alfred Dunner XL, embroidered rayon shirt, teal summer blouse",,Tops,12,Sold,2025-06-10,2026-02-25,,Poshmark,Poshmark,"og tp: 11, 9",8,1.24,2.95,0,"A1, 120days+, raghouse, 5profit, cog:1.24, clothing, firstbox, theomarkdown",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/833fc029-4c2f-46e3-b1a3-d850dfbb2d0d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",& Denim 6 Wide Leg Jeans Blue Ultra High Waist,"Y2K H&M &DENIM wide leg jeans with ultra high waist in medium blue wash.

Wide leg in 100% cotton denim, styled for year-round wear.

Size: 6 (EUR 36, Wide fit)

Condition: Good pre-owned; Flaws: no major flaws visible. See photos for details.

Measurements: 

outer seam 41in
inseam 30in
leg opening 10in
rise 12in
waist 30in

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",& Denim,Pre-Owned - Good,Blue,,"Wide Leg, Ultra High Waist, H&M, Denim, Casual, Y2K, Cotton, Minimalist",,Jeans,20,Sold,2026-02-20,2026-02-25,,Poshmark,Poshmark,,20,2.43,4,0,"A18, cog:2.43",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/7a5e926a-4a2e-41aa-820f-529ffccd130a.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",Flying Tomato M Boho Maxi Dress Rainbow Ombre Smocked Waist Festival Y2K,"Boho Flying Tomato maxi dress with stunning rainbow ombre gradient in yellow, pink, and blue.

Flowy relaxed fit with smocked elastic waist, flutter sleeves, and tiered ruffle details, styled for festivals, vacations, or summer occasions.

Size: M

Condition: Excellent. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Flying Tomato,Pre-Owned - Excellent,Pink,Blue,,,Dresses,53.99,Sold,2026-01-05,2026-02-24,,Depop,Depop,Cost: $0 | Mat: $0.23 | Ship: $0 | Target: $29 | Markup: { Etsy: 35% | eBay: 35% | Depop: 35% | Poshmark: 15% | Mercari: 5% },26.91,0,1.55,0,"A16, clothing, andrea",,1
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/970787dc-240a-4451-8217-4fa7f9024906.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600",UNIVERSAL THREAD 2 Y2K Black Jeans Wide Leg Stretch,"Y2K Universal Thread wide-leg black jeans in faded black wash with subtle stretch.

Relaxed wide-leg silhouette. 99% cotton/1% Lycra blend for comfort.

Size: 2

Measurements:
Waist: 26""
Rise: 11""
Inseam: 27""
Leg Opening: 11""
Outerseam: 38""

Condition: Good pre-owned; Flaws: none visible. See photos for details.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.",Universal Thread,Pre-Owned - Good,Black,,"universal thread, black jeans, y2k, wide leg, denim, stretch, target",,Jeans,26,Sold,2026-02-22,2026-02-23,,eBay,eBay,,15.21,2.43,3.38,0,"A18, cog:2.43",,1
